ID,RADEG,DECDEG,CLASS
B001,9.9625375,40.9696194,1.0
B002,10.0107292,41.1982028,1.0
B003,10.0392042,41.1849028,1.0
B004,10.074675,41.3778583,1.0
B005,10.0846625,40.7328639,1.0
B006,10.1103667,41.4574194,1.0
B007,10.1136583,41.4860611,4.0
B008,10.1262042,41.2690917,1.0
B009,10.1279292,41.6154472,1.0
B010,10.131525,41.2395944,1.0
B011,10.1328292,41.6546972,1.0
B012,10.135275,41.3622861,1.0
B013,10.16015,41.4232556,1.0
B014,10.1608458,41.2127333,4.0
B015,10.1876208,40.9989167,1.0
B016,10.1881917,41.3694194,1.0
B017,10.2029833,41.2020028,1.0
B018,10.2058625,40.6921611,1.0
B019,10.2188708,41.3148361,1.0
B020,10.2302542,41.69035,1.0
B021,10.2458375,41.0941889,1.0
B022,10.2461958,41.4116944,1.0
B023,10.2549458,41.2293861,1.0
B024,10.2994208,41.7636583,1.0
B025,10.3023375,41.0078278,1.0
B026,10.3106458,41.4111639,1.0
B027,10.310525,40.9308139,1.0
B028,10.3186792,40.98425,1.0
B029,10.3243417,41.0063444,1.0
B030,10.328025,40.9543417,1.0
B031,10.3371667,40.9845083,1.0
B032,10.3396417,41.2917444,1.0
B033,10.3600125,41.0039333,1.0
B034,10.3671375,40.8971167,1.0
B035,10.385775,41.6424167,1.0
B036,10.3868,41.434775,1.0
B037,10.3958208,41.2486611,1.0
B038,10.3998208,41.3208083,1.0
B039,10.4078375,41.3472611,1.0
B040,10.4119792,40.6817639,1.0
B041,10.4200583,41.2459722,1.0
B042,10.423625,41.1239694,1.0
B043,10.4262875,40.7110611,1.0
B044,10.4288042,41.3351028,1.0
B045,10.4296167,41.5722194,1.0
B046,10.4358375,41.7743639,1.0
B047,10.4398667,41.7011528,1.0
B048,10.4396292,41.2252,1.0
B049,10.4399792,40.8317639,1.0
B050,10.4427792,41.5384667,1.0
B051,10.4445083,41.4220083,1.0
B052,10.4456625,41.6360472,4.0
B053,10.4468042,41.3791611,6.0
B054,10.4486167,41.0153167,1.0
B055,10.4599667,41.2034667,1.0
B056,10.46315,40.9611278,1.0
B057,10.4701375,40.8679806,1.0
B058,10.4708667,40.7860139,1.0
B059,10.4754167,41.1835833,1.0
B060,10.487525,41.0873333,1.0
B061,10.5005542,41.4932528,1.0
B062,10.5012167,41.6423583,4.0
B063,10.5036333,41.4859806,1.0
B064,10.5080333,41.1854167,1.0
B065,10.5080625,40.6702778,1.0
B066,10.5128708,40.7464222,1.0
B067,10.5132042,41.0732278,1.0
B068,10.5133625,40.9805917,1.0
B069,10.5229708,41.4359389,1.0
B070,10.5287208,41.1323361,1.0
B071,10.529725,41.20335,1.0
B072,10.5309083,41.379925,1.0
B073,10.5304875,40.9892111,1.0
B074,10.5335042,41.7226722,1.0
B075,10.5367667,41.3392361,1.0
B076,10.5427042,41.0894583,1.0
B077,10.5463708,41.1261111,1.0
B078,10.5506292,41.2996667,1.0
B079,10.5506583,41.4911167,4.0
B080,10.5515375,41.3169139,1.0
B081,10.5566083,40.8108222,1.0
B082,10.5659833,41.0206333,1.0
B083,10.5685,41.7557667,1.0
